"InstrLevel","AfAmF","AfAmM","AIANF","AIANM","AsianF","AsianM","HispF","HispM","NHOPIF","NHOPIM","WhF","WhM","MultF","MultM","NRAF","NRAM","UnkF","UnkM","AllF","AllM","GenderNoneTotal","AllTotal","SortNum",
" Public Universities:","","","","","","","","","","","","","","","","",
"Chicago State University","","","","","","","","","","","","","","","","",
"Undergraduate","3,142","1,073","3","5","7","14","221","89","0","0","72","83","0","0","16","12","91","39","3,552","1,315","0","4,867","1",
"Graduate","1,029","282","0","1","8","9","84","51","0","0","245","211","0","0","1","2","27","18","1,394","574","0","1,968","2",
"Total","4,171","1,355","3","6","15","23","305","140","0","0","317","294","0","0","17","14","118","57","4,946","1,889","0","6,835","4",
"Eastern Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","357","270","13","8","54","51","123","109","0","0","5,071","3,613","0","0","24","34","106","95","5,748","4,180","0","9,928","1",
"Graduate","70","27","1","1","7","2","5","4","0","0","929","550","0","0","32","53","30","12","1,074","649","0","1,723","2",
"Total","427","297","14","9","61","53","128","113","0","0","6,000","4,163","0","0","56","87","136","107","6,822","4,829","0","11,651","4",
"Governors State University","","","","","","","","","","","","","","","","",
"Undergraduate","769","226","3","1","23","10","102","47","0","0","915","456","0","0","8","7","120","65","1,940","812","0","2,752","1",
"Graduate","742","217","5","2","34","15","122","46","0","0","1,100","445","0","0","27","54","64","27","2,094","806","0","2,900","2",
"Total","1,511","443","8","3","57","25","224","93","0","0","2,015","901","0","0","35","61","184","92","4,034","1,618","0","5,652","4",
"Illinois State University","","","","","","","","","","","","","","","","",
"Undergraduate","714","396","31","20","167","127","299","238","0","0","8,791","6,611","0","0","76","80","149","179","10,227","7,651","0","17,878","1",
"Graduate","132","37","4","4","26","19","30","16","0","0","1,509","767","0","0","140","156","23","16","1,864","1,015","0","2,879","2",
"Total","846","433","35","24","193","146","329","254","0","0","10,300","7,378","0","0","216","236","172","195","12,091","8,666","0","20,757","4",
"Northeastern Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","738","386","15","13","565","440","1,813","895","0","0","2,499","1,598","0","0","201","142","0","0","5,831","3,474","0","9,305","1",
"Graduate","185","94","10","3","132","84","212","108","0","0","1,242","617","0","0","97","75","0","0","1,878","981","0","2,859","2",
"Total","923","480","25","16","697","524","2,025","1,003","0","0","3,741","2,215","0","0","298","217","0","0","7,709","4,455","0","12,164","4",
"Northern Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","1,425","810","19","21","458","563","633","531","0","0","6,651","6,190","0","0","81","85","270","294","9,537","8,494","0","18,031","1",
"Graduate","268","142","12","6","158","123","275","132","0","0","2,917","1,984","0","0","203","345","115","109","3,948","2,841","0","6,789","2",
"Total","1,693","952","31","27","616","686","908","663","0","0","9,568","8,174","0","0","284","430","385","403","13,485","11,335","0","24,820","4",
"Southern Illinois University Carbondale","","","","","","","","","","","","","","","","",
"Undergraduate","1,321","1,236","29","34","115","209","223","338","0","0","4,958","6,815","0","0","181","234","385","794","7,212","9,660","0","16,872","1",
