"InstrLevel","AfAmF","AfAmM","AIANF","AIANM","AsianF","AsianM","HispF","HispM","NHOPIF","NHOPIM","WhF","WhM","MultF","MultM","NRAF","NRAM","UnkF","UnkM","AllF","AllM","GenderNoneTotal","AllTotal","SortNum",
" Public Universities:","","","","","","","","","","","","","","","","",
"Chicago State University","","","","","","","","","","","","","","","","",
"Undergraduate","1,898","675","4","1","14","17","214","133","0","0","42","43","0","0","13","17","265","126","2,450","1,012","0","3,462","1",
"Graduate","523","206","2","1","71","58","61","24","0","0","106","68","0","0","49","88","29","19","841","464","0","1,305","2",
"Total","2,421","881","6","2","85","75","275","157","0","0","148","111","0","0","62","105","294","145","3,291","1,476","0","4,767","4",
"Eastern Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","839","514","11","5","42","31","254","187","2","2","2,909","1,962","102","66","32","63","111","70","4,302","2,900","0","7,202","1",
"Graduate","54","34","2","2","15","4","20","10","0","0","638","322","10","3","72","124","0","8","811","507","0","1,318","2",
"Total","893","548","13","7","57","35","274","197","2","2","3,547","2,284","112","69","104","187","111","78","5,113","3,407","0","8,520","4",
"Governors State University","","","","","","","","","","","","","","","","",
"Undergraduate","995","351","4","3","29","19","273","131","0","2","745","552","53","25","22","24","216","126","2,337","1,233","0","3,570","1",
"Graduate","643","157","3","0","37","17","123","48","0","1","623","229","29","6","89","262","74","28","1,621","748","0","2,369","2",
"Total","1,638","508","7","3","66","36","396","179","0","3","1,368","781","82","31","111","286","290","154","3,958","1,981","0","5,939","4",
"Illinois State University","","","","","","","","","","","","","","","","",
"Undergraduate","836","591","11","8","235","188","976","760","11","4","7,700","6,432","271","222","49","68","26","39","10,115","8,312","0","18,427","1",
"Graduate","75","40","1","2","23","8","75","36","1","0","1,200","606","23","11","125","134","12","8","1,535","845","0","2,380","2",
"Total","911","631","12","10","258","196","1,051","796","12","4","8,900","7,038","294","233","174","202","38","47","11,650","9,157","0","20,807","4",
"Northeastern Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","480","334","14","4","378","378","1,775","1,238","13","13","1,404","1,290","80","59","218","163","137","117","4,499","3,596","0","8,095","1",
"Graduate","95","60","3","3","67","43","182","99","1","0","588","372","22","10","92","84","48","27","1,098","698","0","1,796","2",
"Total","575","394","17","7","445","421","1,957","1,337","14","13","1,992","1,662","102","69","310","247","185","144","5,597","4,294","0","9,891","4",
"Northern Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","1,369","1,019","12","11","306","447","1,158","1,152","9","10","4,080","4,486","273","249","121","200","62","63","7,390","7,637","0","15,027","1",
"Graduate","178","127","1","2","109","123","201","139","2","1","1,819","1,362","54","45","326","564","28","22","2,718","2,385","0","5,103","2",
"Total","1,547","1,146","13","13","415","570","1,359","1,291","11","11","5,899","5,848","327","294","447","764","90","85","10,108","10,022","0","20,130","4",
"Southern Illinois University Carbondale","","","","","","","","","","","","","","","","",
"Undergraduate","1,387","1,083","12","17","73","138","498","597","5","7","3,607","4,625","195","198","172","409","4","4","5,953","7,078","0","13,031","1",
