"InstrLevel","AfAmF","AfAmM","AIANF","AIANM","AsianF","AsianM","HispF","HispM","NHOPIF","NHOPIM","WhF","WhM","MultF","MultM","NRAF","NRAM","UnkF","UnkM","AllF","AllM","GenderNoneTotal","AllTotal","SortNum",
" Public Universities:","","","","","","","","","","","","","","","","",
"Chicago State University","","","","","","","","","","","","","","","","",
"Undergraduate","3,274","1,147","3","9","24","17","250","114","0","0","76","81","0","0","10","10","135","67","3,772","1,445","0","5,217","1",
"Graduate","803","216","1","3","9","10","86","41","0","0","205","163","0","0","7","4","26","19","1,137","456","0","1,593","2",
"Total","4,077","1,363","4","12","33","27","336","155","0","0","281","244","0","0","17","14","161","86","4,909","1,901","0","6,810","4",
"Eastern Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","553","358","21","19","56","68","142","131","0","0","4,947","3,420","0","0","19","34","313","329","6,051","4,359","0","10,410","1",
"Graduate","67","19","2","2","14","10","19","7","0","0","957","499","0","0","48","64","34","27","1,141","628","0","1,769","2",
"Total","620","377","23","21","70","78","161","138","0","0","5,904","3,919","0","0","67","98","347","356","7,192","4,987","0","12,179","4",
"Governors State University","","","","","","","","","","","","","","","","",
"Undergraduate","687","197","3","0","17","16","138","46","0","0","793","406","0","0","2","5","130","76","1,770","746","0","2,516","1",
"Graduate","774","195","1","2","40","16","160","50","0","0","1,110","502","0","0","59","169","71","27","2,215","961","0","3,176","2",
"Total","1,461","392","4","2","57","32","298","96","0","0","1,903","908","0","0","61","174","201","103","3,985","1,707","0","5,692","4",
"Illinois State University","","","","","","","","","","","","","","","","",
"Undergraduate","624","352","36","21","159","161","354","286","0","0","8,420","6,465","0","0","67","51","376","331","10,036","7,667","0","17,703","1",
"Graduate","72","33","5","5","37","29","38","20","0","0","1,297","644","0","0","166","146","44","35","1,659","912","0","2,571","2",
"Total","696","385","41","26","196","190","392","306","0","0","9,717","7,109","0","0","233","197","420","366","11,695","8,579","0","20,274","4",
"Northeastern Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","611","337","19","14","527","471","1,739","935","0","0","2,239","1,577","0","0","75","74","270","227","5,480","3,635","0","9,115","1",
"Graduate","129","73","3","4","93","70","218","77","0","0","1,081","548","0","0","52","52","87","42","1,663","866","0","2,529","2",
"Total","740","410","22","18","620","541","1,957","1,012","0","0","3,320","2,125","0","0","127","126","357","269","7,143","4,501","0","11,644","4",
"Northern Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","1,493","865","22","18","449","539","699","588","0","0","6,572","6,415","0","0","54","79","540","584","9,829","9,088","0","18,917","1",
"Graduate","259","126","14","2","167","140","236","119","0","0","2,737","1,793","0","0","220","320","111","93","3,744","2,593","0","6,337","2",
"Total","1,752","991","36","20","616","679","935","707","0","0","9,309","8,208","0","0","274","399","651","677","13,573","11,681","0","25,254","4",
"Southern Illinois University Carbondale","","","","","","","","","","","","","","","","",
"Undergraduate","1,485","1,359","28","50","127","225","252","333","0","0","4,614","6,562","0","0","82","158","356","562","6,944","9,249","0","16,193","1",
