"InstrLevel","AfAmF","AfAmM","AIANF","AIANM","AsianF","AsianM","HispF","HispM","NHOPIF","NHOPIM","WhF","WhM","MultF","MultM","NRAF","NRAM","UnkF","UnkM","AllF","AllM","GenderNoneTotal","AllTotal","SortNum",
" Public Universities:","","","","","","","","","","","","","","","","",
"Chicago State University","","","","","","","","","","","","","","","","",
"Undergraduate","3,294","1,163","3","2","20","17","222","106","0","0","60","84","0","0","21","14","99","55","3,719","1,441","0","5,160","1",
"Graduate","1,011","307","1","1","12","7","73","50","0","0","230","215","0","0","4","3","28","29","1,359","612","0","1,971","2",
"Total","4,305","1,470","4","3","32","24","295","156","0","0","290","299","0","0","25","17","127","84","5,078","2,053","0","7,131","4",
"Eastern Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","424","315","12","10","56","61","133","126","0","0","5,176","3,685","0","0","17","31","170","159","5,988","4,387","0","10,375","1",
"Graduate","78","31","2","3","6","6","6","7","0","0","937","526","0","0","36","48","42","26","1,107","647","0","1,754","2",
"Total","502","346","14","13","62","67","139","133","0","0","6,113","4,211","0","0","53","79","212","185","7,095","5,034","0","12,129","4",
"Governors State University","","","","","","","","","","","","","","","","",
"Undergraduate","748","199","4","3","19","12","112","41","0","0","879","413","0","0","6","4","112","80","1,880","752","0","2,632","1",
"Graduate","727","182","5","2","43","16","117","40","0","0","1,007","432","0","0","30","89","58","25","1,987","786","0","2,773","2",
"Total","1,475","381","9","5","62","28","229","81","0","0","1,886","845","0","0","36","93","170","105","3,867","1,538","0","5,405","4",
"Illinois State University","","","","","","","","","","","","","","","","",
"Undergraduate","729","375","26","21","176","124","337","261","0","0","8,629","6,427","0","0","80","69","300","304","10,277","7,581","0","17,858","1",
"Graduate","125","42","3","6","30","16","37","21","0","0","1,430","729","0","0","147","142","33","34","1,805","990","0","2,795","2",
"Total","854","417","29","27","206","140","374","282","0","0","10,059","7,156","0","0","227","211","333","338","12,082","8,571","0","20,653","4",
"Northeastern Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","739","372","10","10","557","442","1,800","917","0","0","2,511","1,618","0","0","90","76","156","120","5,863","3,555","0","9,418","1",
"Graduate","170","75","3","0","107","58","229","92","0","0","1,236","609","0","0","47","67","73","43","1,865","944","0","2,809","2",
"Total","909","447","13","10","664","500","2,029","1,009","0","0","3,747","2,227","0","0","137","143","229","163","7,728","4,499","0","12,227","4",
"Northern Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","1,474","822","23","26","452","563","651","563","0","0","6,700","6,439","0","0","62","84","287","321","9,649","8,818","0","18,467","1",
"Graduate","277","134","13","6","177","144","273","121","0","0","2,930","1,916","0","0","207","319","117","107","3,994","2,747","0","6,741","2",
"Total","1,751","956","36","32","629","707","924","684","0","0","9,630","8,355","0","0","269","403","404","428","13,643","11,565","0","25,208","4",
"Southern Illinois University Carbondale","","","","","","","","","","","","","","","","",
"Undergraduate","1,394","1,354","36","48","128","212","244","349","0","0","4,931","6,857","0","0","137","185","272","550","7,142","9,555","0","16,697","1",
