"InstrLevel","AfAmF","AfAmM","AIANF","AIANM","AsianF","AsianM","HispF","HispM","NHOPIF","NHOPIM","WhF","WhM","MultF","MultM","NRAF","NRAM","UnkF","UnkM","AllF","AllM","GenderNoneTotal","AllTotal","SortNum",
" Public Universities:","","","","","","","","","","","","","","","","",
"Chicago State University","","","","","","","","","","","","","","","","",
"Undergraduate","795","304","5","2","5","0","68","39","0","1","32","32","0","0","26","22","103","53","1,034","453","0","1,487","1",
"Graduate","306","131","1","2","50","42","29","17","0","0","68","49","0","0","25","47","15","10","494","298","0","792","2",
"Undeclared/Non-degree Seeking","14","6","0","0","0","1","1","1","0","0","3","1","0","0","0","0","0","1","18","10","0","28","3",
"Total","1,115","441","6","4","55","43","98","57","0","1","103","82","0","0","51","69","118","64","1,546","761","0","2,307","4",
"Eastern Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","485","393","11","4","38","21","197","145","0","4","1,806","1,163","69","44","56","58","53","44","2,715","1,876","0","4,591","1",
"Graduate","62","25","1","0","13","6","23","13","0","2","582","271","26","5","114","138","2","5","823","465","0","1,288","2",
"Undeclared/Non-degree Seeking","103","49","1","2","24","15","117","96","0","0","420","242","6","6","5","10","34","21","710","441","0","1,151","3",
"Total","650","467","13","6","75","42","337","254","0","6","2,808","1,676","101","55","175","206","89","70","4,248","2,782","0","7,030","4",
"Governors State University","","","","","","","","","","","","","","","","",
"Undergraduate","929","399","3","1","32","29","292","156","1","1","589","452","59","38","7","9","182","110","2,094","1,195","0","3,289","1",
"Graduate","494","116","1","0","27","14","112","49","0","1","463","153","22","2","38","115","70","33","1,227","483","1","1,711","2",
"Undeclared/Non-degree Seeking","53","15","0","0","5","2","7","7","0","0","49","20","3","0","0","1","15","7","132","52","0","184","3",
"Total","1,476","530","4","1","64","45","411","212","1","2","1,101","625","84","40","45","125","267","150","3,453","1,730","1","5,184","4",
"Illinois State University","","","","","","","","","","","","","","","","",
"Undergraduate","934","637","18","12","216","169","1,050","848","10","10","7,512","6,176","271","251","41","43","25","25","10,077","8,171","16","18,264","1",
"Graduate","84","39","0","2","25","9","81","40","0","1","1,139","529","33","17","144","129","8","7","1,514","773","2","2,289","2",
"Undeclared/Non-degree Seeking","7","4","0","0","7","7","6","3","0","0","85","74","3","1","14","18","1","1","123","108","0","231","3",
"Total","1,025","680","18","14","248","185","1,137","891","10","11","8,736","6,779","307","269","199","190","34","33","11,714","9,052","18","20,784","4",
"Northeastern Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","519","343","7","7","294","319","1,548","1,096","9","9","1,013","951","0","0","1","0","522","376","3,913","3,101","0","7,014","1",
"Graduate","83","45","2","1","41","36","177","75","2","0","424","248","0","0","3","4","117","72","849","481","0","1,330","2",
"Undeclared/Non-degree Seeking","18","20","2","1","33","16","65","42","0","2","195","127","0","0","0","0","68","51","381","259","0","640","3",
"Total","620","408","11","9","368","371","1,790","1,213","11","11","1,632","1,326","0","0","4","4","707","499","5,143","3,841","0","8,984","4",
"Northern Illinois University","","","","","","","","","","","","","","","","",
